Sem informação,Sem informação,Sem informação
Setor Público,Fiscalização Municipal,Técnico(a)
Setor Público,Força Nacional de Segurança Pública,Função não identificada
Setor Público,Força Nacional de Segurança Pública,Soldado
Setor Público,Forças Armadas do Brasil,Função não identificada
Setor Público,Forças Armadas do Brasil,Recruta
Setor Público,Forças Armadas do Brasil,Aspirante
Setor Público,Forças Armadas do Brasil,Cadete
Setor Público,Forças Armadas do Brasil,Cabo
Setor Público,Forças Armadas do Brasil,Soldado
Setor Público,Forças Armadas do Brasil,Sargento
Setor Público,Forças Armadas do Brasil,Tenente
Setor Público,Forças Armadas do Brasil,Marinheiro
Setor Público,Forças Armadas do Brasil,Comandante
Setor Público,Forças Armadas do Brasil,Brigadeiro
Setor Público,Forças Armadas do Brasil,Almirante
Setor Público,Forças Armadas do Brasil,Marechal
Setor Público,Governo do Distrito Federal,Função não identificada
Setor Público,Governo do Distrito Federal,Governador(a)
Setor Público,Governo do Distrito Federal,Técnico(a)
Setor Público,Governo Estadual,Função não identificada
Setor Público,Governo Estadual,Governador(a)
Setor Público,Governo Estadual,Técnico(a)
Setor Público,Governo Federal,Função não identificada
Setor Público,Governo Federal,Presidente
Setor Público,Governo Federal,Técnico(a)
Setor Público,Guarda Municipal (ou similar),Função não identificada
Setor Público,Guarda Municipal (ou similar),Inspetor(a)
Setor Público,Guarda Municipal (ou similar),Assistente/Auxiliar administrativo
Setor Público,Guarda Municipal (ou similar),Guarda Municipal
Setor Público,Guarda Municipal (ou similar),Coordenador(a)
Setor Público,Guarda Municipal (ou similar),Gerente/Gestor(a)
Setor Público,Guarda Municipal (ou similar),Técnico(a)
Setor Público,Hospital,Função não identificada
Setor Público,Hospital,Assistente/Auxiliar administrativo
Setor Público,Hospital,Enfermeiro(a)
Setor Público,Hospital,Farmacêutico(a)
Setor Público,Hospital,Nutricionista
Setor Público,Hospital,Fisioterapeuta
Setor Público,Hospital,Médico(a)
Setor Público,Hospital,Técnico(a)
Setor Público,Instituto de Pesquisa,Função não identificada
Setor Público,Instituto de Pesquisa,Pesquisador(a)
Setor Público,Instituto de Pesquisa,Técnico(a)
Setor Público,Instituto Médico Legal (IML),Função não identificada
Setor Público,Instituto Médico Legal (IML),Perito
Setor Público,Instituto Médico Legal (IML),Assistente/Auxiliar administrativo
Setor Público,Instituto Médico Legal (IML),Médico(a) Legista
Setor Público,Instituto Médico Legal (IML),Coordenador(a)
Setor Público,Instituto Médico Legal (IML),Gerente/Gestor(a)
Setor Público,Instituto Médico Legal (IML),Técnico(a)
Setor Público,Instituto de Previdência e Seguridade Social,Função não identificada
Setor Público,Instituto de Previdência e Seguridade Social,Assistente/Auxiliar administrativo
Setor Público,Instituto de Previdência e Seguridade Social,Guarda Municipal
Setor Público,Instituto de Previdência e Seguridade Social,Gerente/Gestor(a)
Setor Público,Instituto de Previdência e Seguridade Social,Segurança
Setor Público,Instituto de Previdência e Seguridade Social,Psicológo Perito
Setor Público,Instituto de Previdência e Seguridade Social,Médico Perito
Setor Público,Instituto de Previdência e Seguridade Social,Técnico(a)
Setor Público,Outras Secretarias e Superintendências Estaduais,Função não identificada
Setor Público,Outras Secretarias e Superintendências Estaduais,Assistente/Auxiliar administrativo
Setor Público,Outras Secretarias e Superintendências Estaduais,Gerente/Gestor(a)
Setor Público,Outras Secretarias e Superintendências Estaduais,Superintendente
Setor Público,Outras Secretarias e Superintendências Estaduais,Secretário(a)
Setor Público,Outras Secretarias e Superintendências Municipais,Assistente/Auxiliar administrativo
Setor Público,Outras Secretarias e Superintendências Municipais,Gerente/Gestor(a)
Setor Público,Outras Secretarias e Superintendências Municipais,Técnico(a)
Setor Público,Ouvidoria,Função não identificada
Setor Público,Ouvidoria,Ouvidor(a)
Setor Público,Ouvidoria,Assistente/Auxiliar administrativo
Setor Público,Ouvidoria,Gerente/Gestor(a)
Setor Público,Ouvidoria,Gerente/Técnico(a)
Setor Público,Poder Judiciário,Desembargador
Setor Público,Poder Judiciário,Perito
Setor Público,Poder Judiciário,Oficial de Justiça
Setor Público,Poder Judiciário,Função não identificada
Setor Público,Poder Judiciário,Juiz
Setor Público,Poder Judiciário,Promotor
Setor Público,Poder Judiciário,Assistente/Auxiliar administrativo
Setor Público,Poder Judiciário,Técnico(a)
Setor Público,Ministério Público,Função não identificada
Setor Público,Ministério Público,Promotor
Setor Público,Ministério Público,Procurador
Setor Público,Ministério Público,Assistente/Auxiliar administrativo
Setor Público,Ministério Público,Assistente/Auxiliar administrativo
Setor Público,Ministério Público,Técnico(a)
Setor Público,Procuradoria,Função não identificada
Setor Público,Procuradoria,Procurador
Setor Público,Procuradoria,Assistente/Auxiliar administrativo
Setor Público,Procuradoria,Técnico(a)
Setor Público,Polícia Civil,Função não identificada
Setor Público,Polícia Civil,Delegado
Setor Público,Polícia Civil,Investigador
Setor Público,Polícia Civil,Inspetor
Setor Público,Polícia Civil,Agente
Setor Público,Polícia Civil,Escrivão
Setor Público,Polícia Civil,Perito
Setor Público,Polícia Civil,Técnico(a)
Setor Público,Polícia Federal,Função não identificada
Setor Público,Polícia Federal,Delegado
Setor Público,Polícia Federal,Agente
Setor Público,Polícia Federal,Escrivão
Setor Público,Polícia Federal,Técnico(a)
Setor Público,Polícia Militar,Função não identificada
Setor Público,Polícia Militar,Capitão
Setor Público,Polícia Militar,Coronel
Setor Público,Polícia Militar,Tenente-Coronel
Setor Público,Polícia Militar,Tenente
Setor Público,Polícia Militar,Sargento
Setor Público,Polícia Militar,Cabo
Setor Público,Polícia Militar,Soldado
Setor Público,Polícia Militar,Major
Setor Público,Polícia Militar,Técnico(a)
Setor Público,Polícia Rodoviária Federal,Função não identificada
Setor Público,Polícia Rodoviária Federal,Inspetor
Setor Público,Polícia Rodoviária Federal,Agente
Setor Público,Polícia Rodoviária Federal,Técnico(a)
Setor Público,Postos e Centros de Saúde,Função não identificada
Setor Público,Postos e Centros de Saúde,Guarda Municipal
Setor Público,Postos e Centros de Saúde,Segurança
Setor Público,Postos e Centros de Saúde,Enfermeiro(a)
Setor Público,Postos e Centros de Saúde,Médico(a)
Setor Público,Postos e Centros de Saúde,Fisioterapeuta
Setor Público,Postos e Centros de Saúde,Nutricionista
Setor Público,Postos e Centros de Saúde,Psicólogo(a)
Setor Público,Postos e Centros de Saúde,Farmacêutico(a)
Setor Público,Postos e Centros de Saúde,Dentista
Setor Público,Postos e Centros de Saúde,Técnico(a)
Setor Público,Prefeitura Municipal,Função não identificada
Setor Público,Prefeitura Municipal,Prefeito(a)
Setor Público,Prefeitura Municipal,Assistente/Auxiliar administrativo
Setor Público,Prefeitura Municipal,Gerente/Gestor(a)
Setor Público,Prefeitura Municipal,Guarda Municipal
Setor Público,Prefeitura Municipal,Motorista
Setor Público,Prefeitura Municipal,Segurança
Setor Público,Prefeitura Municipal,Técnico(a)
Setor Público,Promotoria de Justiça,Função não identificada
Setor Público,Promotoria de Justiça,Promotor
Setor Público,Promotoria de Justiça,Técnico(a)
Setor Público,Pronto-Socorro,Função não identificada
Setor Público,Pronto-Socorro,Guarda Municipal
Setor Público,Pronto-Socorro,Segurança
Setor Público,Pronto-Socorro,Enfermeiro(a)
Setor Público,Pronto-Socorro,Nutricionista
Setor Público,Pronto-Socorro,Fisioterapeuta
Setor Público,Pronto-Socorro,Dentista
Setor Público,Pronto-Socorro,Médico(a)
Setor Público,Pronto-Socorro,Técnico(a)
Setor Público,Restaurante Popular,Função não identificada
Setor Público,Restaurante Popular,Assistente/Auxiliar administrativo
Setor Público,Restaurante Popular,Guarda Municipal
Setor Público,Restaurante Popular,Gerente/Gestor(a)
Setor Público,Restaurante Popular,Segurança
Setor Público,Restaurante Popular,Nutricionista
Setor Público,Restaurante Popular,Cozinheiro(a)
Setor Público,SAMU,Função não identificada
Setor Público,SAMU,Enfermeiro(a)
Setor Público,SAMU,Médico(a)
Setor Público,SAMU,Paramédico(a)
Setor Público,SAMU,Técnico(a)
Setor Público,Secretaria de Assistência Social do Distrito Federal,Função não identificada
Setor Público,Secretaria de Assistência Social do Distrito Federal,Assessor
Setor Público,Secretaria de Assistência Social do Distrito Federal,Secretário de Assistência Social
Setor Público,Secretaria de Assistência Social do Distrito Federal,Assistente/Auxiliar administrativo
Setor Público,Secretaria de Assistência Social do Distrito Federal,Técnico(a)
Setor Público,Secretaria Estadual de Assistência Social,Função não identificada
Setor Público,Secretaria Estadual de Assistência Social,Secretário de Assistência Social
Setor Público,Secretaria Estadual de Assistência Social,Assessor
Setor Público,Secretaria Estadual de Assistência Social,Assistente/Auxiliar administrativo
Setor Público,Secretaria Estadual de Assistência Social,Técnico(a)
Setor Público,Secretaria Estadual de Saúde,Função não identificada
Setor Público,Secretaria Estadual de Saúde,Secretário de Saúde
Setor Público,Secretaria Estadual de Saúde,Assessor
Setor Público,Secretaria Estadual de Saúde,Assistente/Auxiliar administrativo
Setor Público,Secretaria Estadual de Saúde,Técnico(a)
Setor Público,Secretaria Estadual de Segurança Pública ou Urbana,Função não identificada
Setor Público,Secretaria Estadual de Segurança Pública ou Urbana,Secretário de Segurança Pública/Urbana
Setor Público,Secretaria Estadual de Segurança Pública ou Urbana,Assessor
Setor Público,Secretaria Estadual de Segurança Pública ou Urbana,Assistente/Auxiliar administrativo
Setor Público,Secretaria Estadual de Segurança Pública ou Urbana,Técnico(a)
Setor Público,Secretaria Municipal de Assistência Social (ou similar),Função não identificada
Setor Público,Secretaria Municipal de Assistência Social (ou similar),Secretário de Assistência Social
Setor Público,Secretaria Municipal de Assistência Social (ou similar),Assessor
Setor Público,Secretaria Municipal de Assistência Social (ou similar),Assistente/Auxiliar administrativo
Setor Público,Secretaria Municipal de Assistência Social (ou similar),Técnico(a)
Setor Público,Secretaria Municipal de Habitação,Função não identificada
Setor Público,Secretaria Municipal de Habitação,Secretário de Habitação
Setor Público,Secretaria Municipal de Habitação,Assessor
Setor Público,Secretaria Municipal de Habitação,Assistente/Auxiliar administrativo
Setor Público,Secretaria Municipal de Habitação,Técnico(a)
Setor Público,Secretaria Municipal de Saúde,Função não identificada
Setor Público,Secretaria Municipal de Saúde,Secretário de Saúde
Setor Público,Secretaria Municipal de Saúde,Assessor
Setor Público,Secretaria Municipal de Saúde,Assistente/auxiliar administrativo
Setor Público,Secretaria Municipal de Saúde,Técnico(a)
Setor Público,Secret. Munic. de Segurança Pública ou Urbana (ou similar),Função não identificada
Setor Público,Secret. Munic. de Segurança Pública ou Urbana (ou similar),Secretário de Segurança Pública/Urbana
Setor Público,Secret. Munic. de Segurança Pública ou Urbana (ou similar),Assessor
Setor Público,Secret. Munic. de Segurança Pública ou Urbana (ou similar),Assistente/Auxiliar administrativo
Setor Público,Secret. Munic. de Segurança Pública ou Urbana (ou similar),Técnico(a)
Setor Público,Secret./órgão de Limpeza Urbana Municipal (ou similar),Função não identificada
Setor Público,Secret./órgão de Limpeza Urbana Municipal (ou similar),Secretário/responsável pela Limpeza Urbana Municipal
Setor Público,Secret./órgão de Limpeza Urbana Municipal (ou similar),Assessor
Setor Público,Secret./órgão de Limpeza Urbana Municipal (ou similar),Gari
Setor Público,Secret./órgão de Limpeza Urbana Municipal (ou similar),Assistente/Auxiliar administrativo
Setor Público,Secret./órgão de Limpeza Urbana Municipal (ou similar),Técnico(a)
Setor Público,Senado Federal,Função não identificada
Setor Público,Senado Federal,Segurança
Setor Público,Senado Federal,Senador
Setor Público,Senado Federal,Técnico(a)
Setor Público,Serviços de Acolhimento para Crianças e Adolescentes,Função não identificada
Setor Público,Serviços de Acolhimento para Crianças e Adolescentes,Assistente/Auxiliar administrativo
Setor Público,Serviços de Acolhimento para Crianças e Adolescentes,Guarda Municipal
Setor Público,Serviços de Acolhimento para Crianças e Adolescentes,Gerente/Gestor(a)
Setor Público,Serviços de Acolhimento para Crianças e Adolescentes,Segurança
Setor Público,Serviços de Acolhimento para Crianças e Adolescentes,Assistente Social
Setor Público,Serviços de Acolhimento para Crianças e Adolescentes,Educador(a) Social
Setor Público,Serviços de Acolhimento para Crianças e Adolescentes,Cuidador(a) Social
Setor Público,Serviços de Acolhimento para Crianças e Adolescentes,Monitor(a) Social
Setor Público,Serviços de Acolhimento para Crianças e Adolescentes,Psicólogo(a)
Setor Público,Serviços de Acolhimento para Crianças e Adolescentes,Técnico(a)
Setor Público,Serviços de Acolhimento p/ Pessoas Adultas e Fam. em Sit. de Rua,Função não identificada
Setor Público,Serviços de Acolhimento p/ Pessoas Adultas e Fam. em Sit. de Rua,Assistente/Auxiliar administrativo
Setor Público,Serviços de Acolhimento p/ Pessoas Adultas e Fam. em Sit. de Rua,Guarda Municipal
Setor Público,Serviços de Acolhimento p/ Pessoas Adultas e Fam. em Sit. de Rua,Gerente/Gestor(a)
Setor Público,Serviços de Acolhimento p/ Pessoas Adultas e Fam. em Sit. de Rua,Segurança
Setor Público,Serviços de Acolhimento p/ Pessoas Adultas e Fam. em Sit. de Rua,Assistente Social
Setor Público,Serviços de Acolhimento p/ Pessoas Adultas e Fam. em Sit. de Rua,Educador(a) Social
Setor Público,Serviços de Acolhimento p/ Pessoas Adultas e Fam. em Sit. de Rua,Cuidador(a) Social
Setor Público,Serviços de Acolhimento p/ Pessoas Adultas e Fam. em Sit. de Rua,Monitor(a) Social
Setor Público,Serviços de Acolhimento p/ Pessoas Adultas e Fam. em Sit. de Rua,Técnico(a) Social (Assistente Social)
Setor Público,Serviços de Acolhimento p/ Pessoas Adultas e Fam. em Sit. de Rua,Técnico(a) Social (Psicólogo)
Setor Público,Serviços de Acolhimento p/ Pessoas Adultas e Fam. em Sit. de Rua,Técnico(a)
Setor Público,Serviços de Acolhimento p/ Pessoas Adultas e Fam. em Sit. de Rua,Coordenador(a)
Setor Público,Serviços de Atendimento ao Migrante,Função não identificada
Setor Público,Serviços de Atendimento ao Migrante,Assistente/Auxiliar administrativo
Setor Público,Serviços de Atendimento ao Migrante,Guarda Municipal
Setor Público,Serviços de Atendimento ao Migrante,Gerente/Gestor(a)
Setor Público,Serviços de Atendimento ao Migrante,Segurança
Setor Público,Serviços de Atendimento ao Migrante,Técnico(a) Social (Assistente Social)
Setor Público,Serviços de Atendimento ao Migrante,Técnico(a) Social (Psicólogo)
Setor Público,Serviços de Atendimento ao Migrante,Técnico(a)
Setor Público,Serviços de Saúde Mental,Função não identificada
Setor Público,Serviços de Saúde Mental,Assistente/Auxiliar administrativo
Setor Público,Serviços de Saúde Mental,Enfermeiro(a)
Setor Público,Serviços de Saúde Mental,Guarda Municipal
